file_id	input_path	n_cells_in	n_points_in	status	notes
MR03-K02_bathymetry_dmo::20030527.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030527.parquet	2061	621836	ok	
MR03-K02_bathymetry_dmo::20030606.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030606.parquet	1019	916265	ok	
MR03-K02_bathymetry_dmo::20030529.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030529.parquet	953	564804	ok	
MR03-K02_bathymetry_dmo::20030524.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030524.parquet	3411	513869	ok	
MR03-K02_bathymetry_dmo::20030528.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030528.parquet	806	597426	ok	
MR03-K02_bathymetry_dmo::20030525.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030525.parquet	2013	473830	ok	
MR03-K02_bathymetry_dmo::20030522.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030522.parquet	4096	533684	ok	
MR03-K02_bathymetry_dmo::20030523.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030523.parquet	3733	557336	ok	
MR03-K02_bathymetry_dmo::20030521.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030521.parquet	2384	365453	ok	
MR03-K02_bathymetry_dmo::20030526.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030526.parquet	3079	599506	ok	
MR03-K02_bathymetry_dmo::20030530.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030530.parquet	787	537227	ok	
MR03-K02_bathymetry_dmo::20030605.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030605.parquet	1151	286358	ok	
MR03-K02_bathymetry_dmo::20030601.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030601.parquet	2234	629145	ok	
MR03-K02_bathymetry_dmo::20030531.dat	derived/file_cells_1min/MR03-K02_bathymetry_dmo__20030531.parquet	2519	788921	ok	
KR10-E04_bathymetry_dmo::T20101012.dat	derived/file_cells_1min/KR10-E04_bathymetry_dmo__T20101012.parquet	1446	1677784	ok	
KR10-E04_bathymetry_dmo::T20101010.dat	derived/file_cells_1min/KR10-E04_bathymetry_dmo__T20101010.parquet	417	209998	ok	
KR10-E04_bathymetry_dmo::T20101011.dat	derived/file_cells_1min/KR10-E04_bathymetry_dmo__T20101011.parquet	191	102706	ok	
KR10-E04_bathymetry_dmo::T20101009.dat	derived/file_cells_1min/KR10-E04_bathymetry_dmo__T20101009.parquet	2038	279722	ok	
KM17-01_bathymetry_dmo::KM17-01_t.dat	derived/file_cells_1min/KM17-01_bathymetry_dmo__KM17-01_t.parquet	10972	2914770	ok	
20120501::20120501.dat	derived/file_cells_1min/20120501__20120501.parquet	608	699986	ok	
KY11-02_leg1_bathymetry_dmo::20110202.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__20110202.parquet	75	177238	ok	
KY11-02_leg1_bathymetry_dmo::T20110205.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110205.parquet	851	535951	ok	
KY11-02_leg1_bathymetry_dmo::T20110202.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110202.parquet	383	198366	ok	
KY11-02_leg1_bathymetry_dmo::T20110131.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110131.parquet	758	672961	ok	
KY11-02_leg1_bathymetry_dmo::T20110204.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110204.parquet	585	371169	ok	
KY11-02_leg1_bathymetry_dmo::20110203.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__20110203.parquet	72	218847	ok	
KY11-02_leg1_bathymetry_dmo::T20110206.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110206.parquet	61	136483	ok	
KY11-02_leg1_bathymetry_dmo::T20110201.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110201.parquet	1199	461355	ok	
KM17-03_bathymetry_dmo::KM17-03.dat	derived/file_cells_1min/KM17-03_bathymetry_dmo__KM17-03.parquet	6	1068	ok	
KY05-08_bathymetry_dmo::20050809.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050809.parquet	91	445859	ok	
KY05-08_bathymetry_dmo::20050812.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050812.parquet	61	103999	ok	
KY05-08_bathymetry_dmo::20050813.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050813.parquet	108	429323	ok	
KY05-08_bathymetry_dmo::20050811.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050811.parquet	96	208049	ok	
KY05-08_bathymetry_dmo::20050808.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050808.parquet	213	401252	ok	
KY05-08_bathymetry_dmo::20050814.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050814.parquet	57	134133	ok	
KR16-01_leg1_bathymetry_dmo::KR16-01_leg1_bathymetry_dmo/2_OpenCheckData/KR16-01_LEG1_transit/KR16-01_leg1_t.dat	derived/file_cells_1min/KR16-01_leg1_bathymetry_dmo__KR16-01_leg1_bathymetry_dmo__2_OpenCheckData__KR16-01_LEG1_transit__KR16-01_leg1_t.parquet	11082	1660634	ok	
KR16-01_leg1_bathymetry_dmo::KR16-01_leg1_bathymetry_dmo/2_OpenCheckData/KR16-01_LEG1/KR16-01_leg1.dat	derived/file_cells_1min/KR16-01_leg1_bathymetry_dmo__KR16-01_leg1_bathymetry_dmo__2_OpenCheckData__KR16-01_LEG1__KR16-01_leg1.parquet	3215	873114	ok	
KY04-07_leg2_bathymetry_dmo::20040625.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040625.parquet	199	384382	ok	
KY04-07_leg2_bathymetry_dmo::20040630.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040630.parquet	185	310245	ok	
KY04-07_leg2_bathymetry_dmo::20040629.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040629.parquet	392	167990	ok	
KY04-07_leg2_bathymetry_dmo::20040627.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040627.parquet	115	567652	ok	
KY04-07_leg2_bathymetry_dmo::20040626.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040626.parquet	182	237213	ok	
KY04-07_leg2_bathymetry_dmo::20040624.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040624.parquet	177	491065	ok	
KY04-07_leg2_bathymetry_dmo::20040628.dat	derived/file_cells_1min/KY04-07_leg2_bathymetry_dmo__20040628.parquet	60	316047	ok	
KR14-01_bathymetry_dmo::KR14-01_bathymetry_dmo/2_OpenCheckData/KR14-01_transit/KR14-01_t.dat	derived/file_cells_1min/KR14-01_bathymetry_dmo__KR14-01_bathymetry_dmo__2_OpenCheckData__KR14-01_transit__KR14-01_t.parquet	864	193487	ok	
KR14-01_bathymetry_dmo::KR14-01_bathymetry_dmo/2_OpenCheckData/KR14-01/KR14-01.dat	derived/file_cells_1min/KR14-01_bathymetry_dmo__KR14-01_bathymetry_dmo__2_OpenCheckData__KR14-01__KR14-01.parquet	1961	453983	ok	
KR09-03_leg2_bathymetry_dmo::20090504.dat	derived/file_cells_1min/KR09-03_leg2_bathymetry_dmo__20090504.parquet	25	63872	ok	
KR09-03_leg2_bathymetry_dmo::20090505.dat	derived/file_cells_1min/KR09-03_leg2_bathymetry_dmo__20090505.parquet	21	80667	ok	
KR16-10_bathymetry_dmo::KR16-10_bathymetry_dmo/2_OpenCheckData/KR16-10/KR16-10.dat	derived/file_cells_1min/KR16-10_bathymetry_dmo__KR16-10_bathymetry_dmo__2_OpenCheckData__KR16-10__KR16-10.parquet	908	233108	ok	
KR16-10_bathymetry_dmo::KR16-10_bathymetry_dmo/2_OpenCheckData/KR16-10_transit/KR16-10_t.dat	derived/file_cells_1min/KR16-10_bathymetry_dmo__KR16-10_bathymetry_dmo__2_OpenCheckData__KR16-10_transit__KR16-10_t.parquet	1914	439940	ok	
KY12-08_bathymetry_dmo::T20120523.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120523.parquet	644	991081	ok	
KY12-08_bathymetry_dmo::20120610.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120610.parquet	963	493187	ok	
KY12-08_bathymetry_dmo::20120613.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120613.parquet	116	468240	ok	
KY12-08_bathymetry_dmo::T20120707.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120707.parquet	739	896653	ok	
KY12-08_bathymetry_dmo::20120609.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120609.parquet	83	482995	ok	
KY12-08_bathymetry_dmo::T20120521.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120521.parquet	40	115490	ok	
KY12-08_bathymetry_dmo::T20120702.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120702.parquet	1278	433730	ok	
KY12-08_bathymetry_dmo::T20120630.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120630.parquet	118	36379	ok	
KY12-08_bathymetry_dmo::20120608.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120608.parquet	343	549113	ok	
KY12-08_bathymetry_dmo::T20120704.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120704.parquet	1112	450878	ok	
KY12-08_bathymetry_dmo::T20120524.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120524.parquet	196	54286	ok	
KY12-08_bathymetry_dmo::T20120706.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120706.parquet	1150	600932	ok	
